"","student_id","factor1","factor2","factor3","factor4","factor5","gpa"
"137","1ebd0b53717a5cc41e175f9629d0b77f",7.1925,8.2625,8.3,7.05,6.7,8.65
"138","4f720bfcec40adb502fccac848aee1de",6.798181818,8.358333333,7.783333333,9.25,6.42,8.3
"139","ace31ce87c75f62c392aa224fd9adc96",7.008888889,7.675,7.976666667,7.8,5.483333333,6.7
"140","b45ba113dcceb7d32955b3d6091ed825",7.58625,7.9125,7.433333333,6.8,6.953333333,9.36
"141","c5102005b173397a09d08837c77b2f73",5.514285714,3.6625,5.333333333,5.9,7.13,7
"142","a4273f3de07987bcd1f38e280aa7ddb0",6.871111111,7.3625,6.983333333,6,6.0225,7.85
"143","f7e75544b5b33ec2c4e693130503c71f",5.980666667,6.24375,6.353333333,6.9,5.2,6
"144","103cbc909a650f50ea5dc7668de6f1de",5.915714286,7.316666667,6.014,7.9,5.716666667,6
"145","e99e6a1f432978d0ea2d4d1339399939",7.4825,7.95,8.426666667,7.25,6.65,7.93
"146","6a0e7bf9138095835190b875e65205a0",6.683333333,7.183333333,7,6.9,5.6325,7.96
"147","f06eff7f2a4e8a0e3c1a5a4dadce0f03",5.77,6.8125,7.52,7.75,5.036666667,7.5
"148","0f151c8dc64f1abe0c2ebc854b35b900",6.558888889,6.185714286,6.336666667,7.35,5.916666667,6.4
"149","ac46e16770dab4ac1716bcf5cb152c0b",5.648421053,6.53125,6.878571429,6.3,5.916666667,5.85
"150","197a89c8963c002a11f62888ceb8ab8e",7.418888889,7.7625,7.77,7.7,7.063333333,6.7
"151","3e2af9f28afd84216a5fc4027f4dbe9b",5.8775,5.983333333,7.02,5.475,6.78,6
"152","ecba2bb7ec692c3a719db79feb9dd661",5.925714286,6.533333333,6.29,6.35,5.45,6.83
"153","d5b62785bd7dd88fbc7da40478fa1b76",6.427272727,7.541666667,6.29,6.775,6.15,7.5
"154","e36953c4cb3c0df21cf3cd7c4abd1c6a",6.885,7.341666667,6.87,6.8375,7.215,6.9
"155","46560aa455b4618d8c0ec4bbd2d16748",6.81,7.375,7.376666667,6,6.905,6.7
"156","1577bbbd21a91487fd87b91ab06d93ab",8.13,8.11,8.91,7.6,8.315,10
"157","107fddf40ebc4e4908818f326c588428",6.074545455,7.37,7.816666667,6.7,6.32,7.95
"158","2697475d8e3cc18741e55e4428a26e36",7.80375,7.6375,7.25,7.65,6.265,3
"159","0255b6b2356b6d262e729ce583b559b9",6.328333333,6.45,7.886666667,6.05,5.75,2.5
"160","2f5b157a322b8279619c62b367143af5",6.82125,7.1125,7.07,6.2,6.465,8.35
"161","1933c5389532a12e904bc1572e4a4d55",6.2175,7.7625,6.9525,7.3,6.4525,5.5
"162","aa86b30a36a46104ef5ef67278f8ec36",7.29125,7.3625,7.083333333,6.7,7.465,6.2
"163","2169f2025b1dca246bc46ce496e22aea",6.564444444,7.14,7.633333333,6,5.91,7.03
"164","dff4663cded51b950df77cc485d49b5d",7.57375,8.8625,7.933333333,7.6,6.136666667,6.15
"165","ebdb189af5a8b50991573f042aa5e1c8",7.385555556,7.016666667,7.593333333,7.5,6.965,7.55
